"id","scientificName","names_wo_author","est"
14468,"Chrysophyllum viride Mart. & Eichler","Chrysophyllum viride","MG/ES"
14472,"Ecclinusa ramiflora Mart.","Ecclinusa ramiflora","MG/ES"
14484,"Manilkara triflora (Allemão) Monach.","Manilkara triflora","MG/ES"
14489,"Micropholis gardneriana (A.DC.) Pierre","Micropholis gardneriana","MG/ES"
14491,"Micropholis venulosa (Mart. & Eichler) Pierre","Micropholis venulosa","MG/ES"
14499,"Pouteria caimito (Ruiz & Pav.) Radlk.","Pouteria caimito","MG/ES"
14502,"Pouteria gardneri (Mart. & Miq.) Baehni","Pouteria gardneri","MG/ES"
14503,"Pouteria gardneriana (A.DC.) Radlk.","Pouteria gardneriana","MG/ES"
14509,"Pouteria microstrigosa T.D.Penn.","Pouteria microstrigosa","MG/ES"
14510,"Pouteria oxypetala T.D.Penn.","Pouteria oxypetala","MG"
14511,"Pouteria pachycalyx T.D.Penn.","Pouteria pachycalyx","MG/ES"
14515,"Pouteria reticulata (Engl.) Eyma","Pouteria reticulata","MG/ES"
